Date,Price,Open,High,Low,Vol.,Change %
11/1/2024,98.1972,97.3723,100.4089,95.479,,0.85%
10/1/2024,97.3705,92.91,100.3,92.7,,4.70%
9/1/2024,93.0009,91.5385,94.3637,87.0744,,2.59%
8/1/2024,90.6509,85.9988,93.7513,84.7023,,5.41%
7/1/2024,85.9988,85.5316,91.3797,84.8465,,0.54%
6/1/2024,85.5332,90.1,91.7479,82.7377,,-5.07%
5/1/2024,90.1,93.0525,93.7475,88.2636,,-3.17%
4/1/2024,93.0525,92.48,94.5263,91.2425,,0.62%
3/1/2024,92.48,91.15,93.435,90.097,,1.46%
2/1/2024,91.15,90.0175,93.2849,89.836,,1.26%
1/1/2024,90.0175,90.36,92.4475,87.3827,,-0.38%
12/1/2023,90.36,89.4525,93.5296,88.8773,,1.01%
11/1/2023,89.4525,93.4,93.7412,87.6858,,-4.23%
10/1/2023,93.4,97.9675,102.2742,91.6394,,-4.66%
9/1/2023,97.9675,96.025,98.571,92.5561,,2.02%
8/1/2023,96.025,91.6025,101.7356,91.449,,4.83%
7/1/2023,91.6025,89.55,93.7452,88.2854,,2.29%
6/1/2023,89.55,81.1025,89.6863,80.499,,10.42%
5/1/2023,81.1025,80.25,81.3508,75.251,,1.06%
4/1/2023,80.25,77.5975,83.4458,77.3763,,3.42%
3/1/2023,77.5975,74.97,77.9058,74.8825,,3.50%
2/1/2023,74.97,69.82,76.435,69.8076,,7.38%
1/1/2023,69.82,69.9,72.4513,67.0998,,-0.11%
12/1/2022,69.9,60.99,72.8524,60.82,,14.61%
11/1/2022,60.99,61.4775,62.359,59.9835,,-0.79%
10/1/2022,61.4775,58.45,64.915,56.9074,,5.18%
9/1/2022,58.45,60.23,62.5799,53.2875,,-2.96%
8/1/2022,60.23,61.62,62.6401,58.2493,,-2.26%
7/1/2022,61.62,51.45,64.5988,51.3998,,19.77%
6/1/2022,51.45,61.5,62.4923,50.1006,,-16.34%
5/1/2022,61.5,70.96,70.96,55.8383,,-13.33%
4/1/2022,70.96,83.2,84.9917,70.3221,,-14.71%
3/1/2022,83.2,94.6025,121.21,82.9525,,-12.05%
2/1/2022,94.6025,77.3792,109.1239,74.2873,,22.26%
1/1/2022,77.3792,74.6539,80.3251,74.1898,,3.65%
12/1/2021,74.6539,74.0838,75.1295,73.107,,0.77%
11/1/2021,74.0838,70.9464,75.8907,70.5283,,4.42%
10/1/2021,70.9464,72.7514,73.2325,69.2347,,-2.48%
9/1/2021,72.7514,73.2274,73.6184,72.25,,-0.65%
8/1/2021,73.2274,73.1409,74.5781,72.6923,,0.12%
7/1/2021,73.1409,73.1925,75.3361,72.8178,,-0.02%
6/1/2021,73.1522,73.2636,73.7045,71.563,,-0.38%
5/1/2021,73.4341,75.1859,75.3481,73.1646,,-2.36%
4/1/2021,75.2073,75.65,78.0207,74.2151,,-0.65%
3/1/2021,75.6987,74.6196,76.644,72.5404,,1.45%
2/1/2021,74.6196,75.7404,76.2821,73.1509,,-1.48%
1/1/2021,75.7404,74.4121,76.4995,73.0857,,1.79%
12/1/2020,74.4121,76.4033,76.4123,72.6629,,-2.61%
11/1/2020,76.4033,79.5257,80.9205,75.327,,-3.93%
10/1/2020,79.5257,77.6319,79.5905,76.022,,2.44%
9/1/2020,77.6319,74.0718,79.9438,73.3757,,4.81%
8/1/2020,74.0718,74.4114,75.9878,72.6438,,-0.46%
7/1/2020,74.4114,71.1734,74.4947,70.2013,,4.55%
6/1/2020,71.1734,70.1445,71.3213,68.0563,,1.47%
5/1/2020,70.1445,74.3813,75.933,70.1445,,-5.70%
4/1/2020,74.3813,78.4426,79.3351,72.6449,,-5.18%
3/1/2020,78.4426,66.8806,81.6654,65.3718,,17.29%
2/1/2020,66.8806,63.9203,67.6273,62.5671,,4.63%
1/1/2020,63.9203,61.9863,63.9415,60.8865,,3.12%
12/1/2019,61.9863,64.3195,64.4819,61.5403,,-3.63%
11/1/2019,64.3195,64.1328,64.4618,63.1815,,0.29%
10/1/2019,64.1328,64.8569,65.5577,63.5624,,-1.12%
9/1/2019,64.8569,66.7657,67.1229,63.6178,,-2.86%
8/1/2019,66.7657,63.6284,67.021,63.625,,4.93%
7/1/2019,63.6284,63.2305,63.9788,62.5653,,0.63%
6/1/2019,63.2305,65.4306,65.5915,62.4997,,-3.36%
5/1/2019,65.4306,64.6373,65.5983,64.153,,1.23%
4/1/2019,64.6373,65.634,65.8261,63.66,,-1.52%
3/1/2019,65.634,65.9151,66.3013,63.6471,,-0.43%
2/1/2019,65.9151,65.4103,67.1574,65.167,,0.77%
1/1/2019,65.4103,69.8319,69.8326,65.1713,,-6.33%
12/1/2018,69.8319,66.951,69.9427,66.0028,,4.30%
11/1/2018,66.951,65.8789,68.2775,65.4319,,1.63%
10/1/2018,65.8789,65.5503,67.0725,64.8565,,0.50%
9/1/2018,65.5503,67.5458,70.5897,65.2283,,-2.95%
8/1/2018,67.5458,62.5078,69.001,62.491,,8.06%
7/1/2018,62.5078,62.7338,63.7818,61.6538,,-0.36%
6/1/2018,62.7338,62.403,64.1873,61.706,,0.53%
5/1/2018,62.403,62.9408,64.1935,60.9633,,-0.85%
4/1/2018,62.9408,57.1444,65.0144,57.1444,,10.14%
3/1/2018,57.1444,56.3291,58.0234,56.269,,1.45%
2/1/2018,56.3291,56.2075,58.7583,55.5655,,0.22%
1/1/2018,56.2075,57.6114,57.6114,55.5973,,-2.44%
12/1/2017,57.6114,58.438,59.3811,57.3927,,-1.41%
11/1/2017,58.438,58.3289,60.4124,58.0118,,0.19%
10/1/2017,58.3289,57.4898,58.7458,56.9956,,1.46%
9/1/2017,57.4898,58.006,58.5741,56.7935,,-0.89%
8/1/2017,58.006,59.7719,60.8357,57.9844,,-2.95%
7/1/2017,59.7719,58.9401,60.9884,58.7825,,1.41%
6/1/2017,58.9401,56.5617,60.4192,56.1125,,4.20%
5/1/2017,56.5617,56.9311,58.8033,56.0007,,-0.65%
4/1/2017,56.9311,56.2665,57.5506,55.7253,,1.18%
3/1/2017,56.2665,58.3058,59.6053,55.8808,,-3.50%
2/1/2017,58.3058,60.1589,60.3979,56.5701,,-3.08%
1/1/2017,60.1589,61.273,61.2865,58.9786,,-1.82%
12/1/2016,61.273,64.142,64.344,60.1189,,-4.47%
11/1/2016,64.142,63.3823,66.4812,62.9151,,1.20%
10/1/2016,63.3823,62.8343,63.4921,61.851,,0.87%
9/1/2016,62.8343,65.3317,65.9735,62.6585,,-3.82%
8/1/2016,65.3317,66.0429,67.0185,63.4193,,-1.08%
7/1/2016,66.0429,63.9731,67.1548,62.7597,,3.24%
6/1/2016,63.9731,66.6968,67.6776,63.4277,,-4.08%
5/1/2016,66.6968,64.6542,67.3038,64.4075,,3.16%
4/1/2016,64.6542,67.0288,69.4728,64.0046,,-3.54%
3/1/2016,67.0288,75.1682,75.1682,66.717,,-10.83%
2/1/2016,75.1682,75.4644,80.6,74.5206,,-0.39%
1/1/2016,75.4644,73.5963,85.752,72.6455,,2.54%
12/1/2015,73.5963,66.4888,73.6222,66.0833,,10.69%
11/1/2015,66.4888,63.9454,66.9866,62.3561,,3.98%
10/1/2015,63.9454,65.4532,66.6476,60.8451,,-2.30%
9/1/2015,65.4532,64.2768,69.2889,64.2768,,1.83%
8/1/2015,64.2768,61.7417,71.6014,61.7417,,4.11%
7/1/2015,61.7417,55.2806,61.7507,55.2704,,11.69%
6/1/2015,55.2806,52.3212,56.3661,53.0322,,5.66%
5/1/2015,52.3212,51.6513,52.1965,50.363,,1.30%
4/1/2015,51.6513,58.1993,58.4863,49.455,,-11.25%
3/1/2015,58.1993,61.6207,63.0344,56.2019,,-5.55%
2/1/2015,61.6207,68.8629,70.4525,59.8819,,-10.52%
1/1/2015,68.8629,55.9077,71.7575,55.9077,,23.17%
12/1/2014,55.9077,50.4085,80,50.4085,,10.91%
11/1/2014,50.4085,43.034,50.4085,43.034,,17.14%
10/1/2014,43.034,39.5727,43.6382,39.3822,,8.75%
9/1/2014,39.5727,37.0749,39.7205,36.6736,,6.74%
8/1/2014,37.0749,35.759,37.0825,35.6201,,3.90%
7/1/2014,35.6848,34.477,35.9046,33.7906,,4.99%
6/1/2014,33.988,34.91,35.252,33.54,,-2.67%
5/1/2014,34.92,35.633,35.907,34,,-2.00%
4/1/2014,35.634,35.032,36.353,34.924,,1.67%
3/1/2014,35.047,36.641,36.732,35.032,,-2.78%
2/1/2014,36.05,35.155,36.267,34.53,,2.48%
1/1/2014,35.176,32.85,35.453,32.84,,6.93%
12/1/2013,32.895,33.136,33.29,32.467,,-0.77%
11/1/2013,33.149,32.1,33.242,32.068,,3.32%
10/1/2013,32.083,32.375,32.472,31.616,,-0.96%
9/1/2013,32.393,33.273,33.54,31.51,,-2.63%
8/1/2013,33.268,32.92,33.325,32.75,,0.93%
7/1/2013,32.96,32.858,33.373,32.21,,0.38%
6/1/2013,32.835,31.918,33.072,31.491,,2.86%
5/1/2013,31.922,31.123,32.022,30.96,,2.55%
4/1/2013,31.128,31.047,31.91,30.77,,0.16%
3/1/2013,31.078,30.66,31.14,30.57,,1.40%
2/1/2013,30.65,30.025,30.692,29.83,,2.06%
1/1/2013,30.03,30.553,30.58,29.96,,-1.73%
12/1/2012,30.558,30.858,31.038,30.232,,-0.99%
11/1/2012,30.865,31.352,31.847,30.775,,-1.53%
10/1/2012,31.343,31.288,31.57,30.643,,0.51%
9/1/2012,31.185,32.245,32.502,30.375,,-3.30%
8/1/2012,32.25,32.199,32.657,31.424,,0.12%
7/1/2012,32.211,32.44,33.094,31.786,,-0.57%
6/1/2012,32.395,33.386,34.121,32.034,,-3.01%
5/1/2012,33.401,29.355,33.626,29.3,,13.73%
4/1/2012,29.368,29.392,29.874,29.131,,0.16%
3/1/2012,29.32,29.081,29.786,28.85,,0.81%
2/1/2012,29.085,30.298,30.438,28.841,,-4.04%
